ID,www_imgs,Card,Suit
1,clubs_10.png,10,2
2,clubs_2.png,2,2
3,clubs_3.png,3,2
4,clubs_4.png,4,2
5,clubs_5.png,5,2
6,clubs_6.png,6,2
7,clubs_7.png,7,2
8,clubs_8.png,8,2
9,clubs_9.png,9,2
10,clubs_ace.png,14,2
11,clubs_jack.png,11,2
12,clubs_king.png,13,2
13,clubs_queen.png,12,2
14,diamonds_10.png,10,4
15,diamonds_2.png,2,4
16,diamonds_3.png,3,4
17,diamonds_4.png,4,4
18,diamonds_5.png,5,4
19,diamonds_6.png,6,4
20,diamonds_7.png,7,4
21,diamonds_8.png,8,4
22,diamonds_9.png,9,4
23,diamonds_ace.png,14,4
24,diamonds_jack.png,11,4
25,diamonds_king.png,13,4
26,diamonds_queen.png,12,4
27,hearts_10.png,10,3
28,hearts_2.png,2,3
29,hearts_3.png,3,3
30,hearts_4.png,4,3
31,hearts_5.png,5,3
32,hearts_6.png,6,3
33,hearts_7.png,7,3
34,hearts_8.png,8,3
35,hearts_9.png,9,3
36,hearts_ace.png,14,3
37,hearts_jack.png,11,3
38,hearts_king.png,13,3
39,hearts_queen.png,12,3
40,spades_10.png,10,1
41,spades_2.png,2,1
42,spades_3.png,3,1
43,spades_4.png,4,1
44,spades_5.png,5,1
45,spades_6.png,6,1
46,spades_7.png,7,1
47,spades_8.png,8,1
48,spades_9.png,9,1
49,spades_ace.png,14,1
50,spades_jack.png,11,1
51,spades_king.png,13,1
52,spades_queen.png,12,1
